id	type	caption	action	parent
799	list	2. Upah-PKS	budget_upah	795
818	list	3. jam Operasional PKS	bgt_jam_operasional_pks	795
807	list			795
808	list	Anggaran		795
813	list	4. Produksi-PKS	bgt_produksi_pks	795
814	list	5. Budget PKS	budget_budget_pks	795
820	list	6. Biaya Umum	budget_by_umum	795
823	parent	Kebun	null	822
824	parent	PKS	null	822
825	parent	Traksi	null	822
838	list	Harga Barang	bgt_laporan_harga_barang	822
839	list	Rp/Jam Bengkel	bgt_laporan_rp_jam_bengkel	822
840	list	Rp/Jam Kendaraan	bgt_laporan_rp_jam_kendaraan	822
841	list	Kapital	bgt_laporan_kapital	822
848	list	Laporan Budget Departemen	bgt_laporan_budget_departemen	822
855	list	Hari Kerja	bgt_laporanHariKerja	822
858	list	Budget Detail	bgt_laporan_detail	822
868	list	Data Rinci	bgt_laporan_freeQuery	822
876	list	Laporan Keuangan Budget	bgt_laporan_arusKas	822
878	list	Budget Material	bgt_laporan_budget_material	822
968	list	Budget Per PT	bgt_2pt	822
976	list	Varian Harga	bgt_varianharga	822
1069	list	Rekap Budget	bgt_laporan_rekap	822
826	list	Areal Statement	bgt_laporan_arealstatement	823
827	list	Produksi Kebun	bgt_laporan_produksi	823
828	list	Biaya Langsung	bgt_laporan_biaya_lngs_kebun	823
829	list	Biaya Tidak Langsung Kebun	bgt_laporan_biaya_tdk_lngs_kebun	823
830	list	Tenaga Kerja	bgt_laporan_tenaga_kerja	823
831	list	Rp/Kg	bgt_laporan_rp_kg_kebun	823
875	list	Biaya Langsung Per Akun	bgt_laporan_biaya_lngs_kebun2	823
832	list	Produksi	bgt_laporan_produksi_pks	824
833	list	Biaya Langsung PKS	bgt_laporan_biaya_langsung_pks	824
834	list	Tenaga Kerja	bgt_laporan_tenaga_kerja	824
835	list	Rp/KG CPO	bgt_laporan_rp_kg_pks	824
843	list	Biaya Tidak Langsung PKS	bgt_laporan_by_tdklangsung_pks	824
836	list	Biaya Bengkel	bgt_laporan_biaya_bengkel	825
837	list	Biaya Kendaraan	bgt_laporan_biaya_kendaraan	825
870	list	Daftar Kendaraan	bgt_laporan_daftar_kendaraan	825
1306	list	Pengajuan Cuti Tahunan	sdm_ijin_meninggalkan_kantor	845
1307	list	Pengajuan Ijin/Cuti Khusus	sdm_ijin_cuti_khusus	845
1308	list	Cuti Bersama	sdm_cutibersama	845
460	list	Golongan	sdm_5golongan	859
461	list	Jabatan	sdm_5jabatan	859
493	list	Departemen	sdm_5departemen	859
494	list	Tipe Karyawan	sdm_5tipekaryawan	859
884	list	Kelompok Prasarana	sdm_5kl_prasarana	883
885	list	Jenis Prasarana	sdm_5jenis_prasarana	883
990	list	Jenis File dan Data	rencana_5jenisData	883
1092	list	Packing List	log_packing	888
1093	list	Surat Jalan	log_suratjalan	888
1146	list	Penerimaan Surat Jalan	log_psj	888
917	parent	Tambah	help_tambah	916
918	parent	Bantuan	help_bantuan	916
1042	list	ID	help_tambah	917
1043	list	EN	help_tambah_en	917
1044	list	Bahasa Indonesia	help_bantuan	918
1045	list	English(US)	help_bantuan_en	918
742	list	Detail Pembelian	log_2detail_pembelian	938
760	list	Detail Pembelian Per Barang	log_2detail_pembelian_brg	938
880	list	Laporan PP	log_2pp_histori	938
933	list	Laporan Status PO	log_2laporan_statuspo	938
817	list	Pembelian Terakhir	log_2pembelian_terakhir	938
939	list	Laporan Produktivitas	log_2produktivitas	938
965	list	Laporan Status Pengiriman Barang	log_2posisiBarang	938
986	list	Riwayat Pembayaran	log_2pembayaran	938
1003	list	PP BLM Realisasi	lbm_proc_pprealisasi	938
945	list	Biaya TBM	mr_biayaTbm	944
946	list	Biaya TM	mr_biayaTm	944
947	list	Produksi TBS	mr_produksiTbs	944
948	list	Biaya Produksi TBS	mr_biayaProduksiTbs	944
960	list	Produksi TBS Bulanan	mr_produksiTbs_bulanan	944
954	list	Request Management	it_requestManagement	949
955	list	Request Response	it_requestResponse	949
951	list	Permintaan Layanan	it_permintaanUser	949
961	list	Prestasi Staf IT	it_2prestasi	949
956	parent	Setup	null	949
957	list	Standard Nilai Kegiatan	it_5stNilaiKegiatan	956
958	list	Standard Nilai Kepuasan	it_5stKepuasan	956
959	list	Porsi Nilai	it_5porsiNilai	956
1062	list	Revisi PO	log_updatepo.php	971
1063	list	Admin Tools	tool_admin	971
1064	list	AutoR/K Checker	tool_mutasi_check.php	971
1009	list	Desa Lingkungan	pad_5desa	989
1008	list	Daftar Masyarakat	pad_5masyarakat	989
1106	list	LK - Neraca	keu_2neraca	999
1147	list	LK - Laba Rugi	keu_2laporankeuanganLabaRugiv1	999
1219	list	LK - L/R Periodik	keu_2lr_periodik	999
1220	list	Neraca Periodik	keu_2laporan_neracaPeriodeik	999
1083	list	Cost Element	agro_2costelement	1082
1279	list	Biaya Blok Per Tahun	kebun_biayaperblok	1082
1086	list	Pensiun	sdm_5pensiun.php	1085
1087	list	Pajak Pesangon	sdm_5pajakpesangon.php	1085
1251	list	Laporan Data AWS	kebun_laporan_aws	1238
1252	list	Rekap Data AWS	kebun_rekap_aws	1238
